,country,description,points,price,variety
58805,France,"This is bizarrely perfumed: It tastes like a candy shop smells, with a note of fruit jelly. The tannins are taut, but the wine doesn't hang together.",82,19.0,Bordeaux-style Red Blend
33019,US,"This wine in a box is simple and direct, with pineapple, lime and peach flavors that are sugary sweet. But it's crisp and clean in acidity, and the box is the equivalent of four regular bottles.",83,20.0,White Blend
29049,US,"From both Muscat Canelli (65%) and Muscat Giallo (35%), this fragrant and inviting wine is exactly what it proclaims to be, slightly sweet in honeysuckle, citrus and crisp texture. It offers lightness and lingering acidity in a moderate-alcohol package.",90,16.0,Muscat
44669,US,"Aged in American oak, with mostly similar vineyard sources. The American oak, with more spice to the fruit, and less smoothness overall than the C'est Belle Bottling. Cherry and berry flavors abound; it's sturdy, solid and well-made. Just 170 cases produced.",88,35.0,Syrah
80019,France,"The complexities of Burgundy! This is the vineyard next to the more familiar Les Charmes, just up the slope—hence dessus, meaning above. This vineyard gives a mineral character, hinting at Chablis, but with some Meursault richness as well. Hold this wine, with its delicious vanilla flavors, and it will be ready in a year.",93,69.0,Chardonnay
82658,US,"Porty and dull. Almost undrinkable, except for some decent berry and currant flavors.",80,22.0,Tempranillo
100304,Italy,"Smells like ripe peaches with hints of anise and almond. Tastes similar, with a plump mouthfeel that carries the flavors across the palate to a short but pleasant finish. Nice as an apéritif, or with mildly flavored fish or poultry.",87,23.0,Cortese
90771,Italy,"This wine is mostly Cabernet Sauvignon with smaller percentages of Alicante and Petit Verdot that render a soapy, herbal nose with accents of root beer, exotic spice, lavender potpourri and green pepper corn. It is very well balanced.",92,55.0,Red Blend
38553,US,"Very dry and fairly tannic, it's severe on first sip and hard to appreciate, although there are some good black cherry, cola, leather, oak and black pepper flavors. It's complex in its own way, and gets better as it breathes in the glass. Give it a good, long decanting, and drink it now through 2018. The blend is Mourvèdre, Grenache, Syrah and Counoise, in that order.",90,55.0,Rhône-style Red Blend
56668,Spain,"Waxy on the nose, with buttercup, creamy yellow-fruit scents and white flowers. The palate is wet, racy and a touch like soda, with sweet, candied flavors of peach and melon. Plods along with good enough acidity to support the wine's core sweetness and candied qualities.",86,15.0,Chardonnay
85732,Spain,"Starts out rustic and leathery, with hints of smoke, leafiness and earth along with baked berry and spice. This four-grape wine has good density and mouthfeel that frames leather, earth and slightly baked berry fruit flavors. Finishes chocolaty and sweet, with just enough acidity to maintain balance.",89,15.0,Red Blend
65616,US,"A wonderfully dry, minerally Sauvignon Blanc. It's set off by crisp acidity, and has rewarding flavors of lemons, grapefruits and limes, enriched with pineapples, figs and honeysuckle.",88,12.0,Sauvignon Blanc
34966,US,"Firm, a bit astringent and dry, with ripe flavors of blackberries, currants, black cherries and cedar. A solid Cabernet with some raw edges that might age out in a few years.",87,38.0,Cabernet Sauvignon
9368,US,"Dripping in earth, kir and fresh raspberry, this is a stellar wine from the heart of the appellation, estate-grown from a four-acre spot planted to a trio of clones. Spirited and refreshing, it dances in acidity and a floral back note that's compelling, wrapped in cinnamon and mocha.",94,42.0,Pinot Noir
79358,US,"Has all the hallmarks of Viognier, namely lots of tropical fruit, wildflower, vanilla and spicy aromas and flavors, and finishes thoroughly dry. Could use more brightness and zest, though, as it's a bit flat.",83,24.0,Viognier
76952,Italy,"Smokey tones of charcoal and dark granite or slate rise from the nose of this Lazio-based Petit Verdot. Dusty mineral notes are followed by dark, ripe fruit and the wine is long-lasting and penetrating on the close.",88,24.0,Petite Verdot
98297,US,"Kind of tough in the mouth at this time, with aggressive tannins that effectively bury the blackberry flavors. There's also a streak of hung meat or smoky leather that adds dimension. Best to let it soften for a few years.",87,26.0,Zinfandel
74833,Italy,"This is a difficult wine to understand, with a very specific philosophy behind it. Light, elegant and ethereal, the 60-40 blend of Nero d'Avola and Frappato is aged in terracotta amphorae in a studied attempt to present as pure a product as nature allows. It offers loads of bright fruit, wild berries, earth, spice and impressive complexity.",91,40.0,Red Blend
46438,Italy,"Here's an oak-aged Chardonnay from northern Italy that offers the bright intensity of peach, melon and yellow flower backed by the elegance of toast and roasted nut. The wine is creamy and soft in the mouth with some bitter almond notes on the close.",88,30.0,Chardonnay
99683,US,"Defines a style entirely separate from Napa's. Has those rustic Dry Creek tannins and even a briary edge to the blackberries and cherries, and is totally dry. Well-made and elegant.",88,13.0,Cabernet Sauvignon
90189,US,"Oaky and ripe, with powerful tropical pineapple, kumquat, mineral and floral aromas and flavors. New oak adds smoke, vanilla and char. The bottom line is of a flavorful, acidic and elegant Chard with a lingering, spicy finish.",90,28.0,Chardonnay
92483,Spain,"Smooth and ripe smelling, with clean berry aromas. Cherry, plum and pepper are the lead flavors, and the feel is tangy, zippy and clampy, but exceedingly fresh. Not a lot of richness, depth or body here, but it's pure, clean wine with common appeal.",87,14.0,Tempranillo
15243,US,"Just a single barrel was made, pure Sangiovese from the Candy Mountain Vineyard. Tight, tart and dark, it captures black cherry fruit with black licorice and a whiff of smoke. At this point in time the tannins and acids seem to be fighting it out for control.",88,50.0,Sangiovese
13506,US,"Something like a cross between a silky Pinot Noir and a soft Merlot, this is a gentle, fruity wine, with berry, tobacco, cola and spice flavors. A nice scour of tannins suggests this will pair with rich, oily meats and cheeses.",86,16.0,Sangiovese
30055,US,"Simple cherry fruit, with a delicately earthy base, defines this everyday Merlot. It keeps its herbal component in check, balanced appropriately against rather light fruit.",87,18.0,Merlot
5707,US,"Date and tar notes come nuanced with a funky, sweat-like aroma. The palate feels lax on attack, and it tastes a bit thin on flavor. Firm, upper-lip-grabbing tannins mark the finish.",83,26.0,Merlot
4900,France,"It's certainly tannic and tough at the moment, the wine also has so much fruit. That will allow it to round out, bringing out the black currant fruitiness and resulting in a full, rich and perfumed wine. Wait until 2018.",88,24.0,Bordeaux-style Red Blend
60657,US,"Crisp and refreshing with notes of grated ginger, white flowers and cantaloupe. This dry Riesling balances peachy fruit flavors with a steely backbone of slate and lime, tart acidity and a pleasantly long finish. Lovely all around.",89,16.0,Riesling
80671,US,"This is light and generic, the sort of low-priced Merlot that California cranks out by the boatload. Washington can do better. There's a spiffy new label, but where's the beef?",82,9.0,Merlot
19934,US,"Intense blueberry and blackberry notes penetrate through this fruity, forward Pinot Noir. Hints of savory herbs add elegance to an otherwise one-dimensional palate that finishes with big, coarse tannins.",84,22.0,Pinot Noir
44256,US,"Easy to like for its crisp, mouthwatering acidity and flavors of lemons and limes, figs and vanilla. A nice, everyday wine to drink with roast chicken or as a cocktail sipper.",85,19.0,Pinot Gris
89469,France,"With its tobacco and fresh raspberry aromas, this is a light, perfumed, smoky wine of fragrant Cabernet Franc with a touch of blueberry tannins and an intense burst of finishing acidity.",85,14.0,Bordeaux-style Red Blend
40930,US,"The Chelan region is Washington's newest AVA, but already showing great potential for Syrah, as this aromatic and explosively flavorful bottle proves. Ripe berries, plums and cherries are swept into a mix of smoke and rock and iron filings; as you taste through the wine there are citrusy acids and hints of resin and tar; it just keeps adding in the nuances.",90,27.0,Syrah
46436,France,"Well structured, balanced, giving tannins as well as acidity to balance fruit that moves in the direction of sweet plums, with hints of coffee and vanilla spice. The wine has a texture that promises aging, but also has a delicious juicy character.",91,55.0,Pinot Noir
16828,US,"Huge flavors of jammy blackberries and cherries dominate this Syrah, with a coating of sweet, caramelized oak. It's yummy, but not especially complex. Drink now.",86,26.0,Syrah
75533,US,"Thick and soft, this wine has simple, sweetish medicinal flavors of cherry and black raspberry Lifesavers. The oak just adds vanilla.",82,29.0,Merlot
64063,US,"Ripeness is both this wine's blessing and its challenge. It's super-fruit in jammy blackberries, blueberries, currants and cherries, brightened by that famous Edna Valley acidity. But it's all on the surface, without much complexity. So drink now.",86,24.0,Syrah
33663,Italy,"Lush concentration and deep aromas of dark fruit and black cherry make an excellent first impression. This Dolcetto shows a dark, deep color and a chewy, almost inky texture.",88,20.0,Dolcetto
95521,US,"A very nice Chardonnay that has the dusty, herbal tug that Napa Chards often display. Otherwise it's very rich, with potent pineapple pie and peach tart flavors, enriched with creamy lees and buttery new oak. Drink now–2012.",92,70.0,Chardonnay
47927,Italy,"Lightweight and thin in the mouth, this zesty white wine does a good job of keeping your palate refreshed and quenches your thirst (think hot summer day). It's an easy and informal wine that stays focused on simplicity.",85,14.0,Pinot Grigio
73726,France,"Old vines have produced a superconcentrated and ripe wine. It has notes of toast, spice and yellow fruit as well as bright acidity. With its structure, depth of flavor and density, it should age well over 3–4 years.",92,35.0,Sauvignon Blanc
399,US,"The nose of this blend of 58% Syrah, 17% Cabernet Franc, 9% Merlot, 8% Malbec and 8% Petite Sirah is a touch funky, with sour blackberry, charcoal and dried meat aromas. Charred blueberry, sour black plum and savory meat flavors show on the palate.",86,32.0,Red Blend
95369,US,"A rush of zippy, fresh fruit and spice aromas recommends this white from New York, offering the kind of clean fruit flavors and minerality that makes this region unique. The wine lacks real complexity and tends toward the austere but the beguiling spice saves the day.",84,18.0,Chardonnay
87519,US,"Soft and sweetly fruity, with pie-filling flavors of blackberries, plums and cherries, spiced with anise and cinnamon. Easy to like. Drink now.",87,48.0,Bordeaux-style Red Blend
53359,US,"If you know the Rhône-style wines of Saxum, which is probably Paso Robles' most expensive wine, this is nearly identical. Mostly Syrah, with 8% Grenache, the wine is decadently rich in milk chocolate, blackberry jam and sweet, smoky oak flavors. It's very high in alcohol, but unless you're an extremist in this regard, you can't help but be knocked out by the wine's sensuous pleasures.",92,95.0,Rhône-style Red Blend
59054,US,"A bit on the soft, overripe side, with currant, licorice, cherry, cocoa and oak flavors. But it's dry, and the tannins are fancy. Drink it fresh out of the bottle with a grilled steak.",86,20.0,Cabernet Sauvignon
2327,US,"This beautiful wine further confirms the high level of quality in the Pinot Noirs from Dan Goldfield and Steve Dutton. It has a profusion of ripe black cherry and currant flavors, backed by firm acidity and fine-grained tannins, giving it grip. Its balance of concentrated fruit flavors and solid structure indicates a long life in the cellar. Best after 2020.",95,58.0,Pinot Noir
96499,US,"Very rich, with bounteous flavors of crushed ripe blackberries, blueberries, dill, black pepper and dark chocolate, with firm, furry tannins. A bit bitter now, and might age for a couple years.",85,48.0,Syrah
985,US,"Aromas of vanilla and wood spice lead to elegant, somewhat dried out and dilute fruit flavors, followed by a short finish.",85,27.0,Cabernet Sauvignon
491,US,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",93,100.0,Cabernet Sauvignon
94915,US,"An extraordinarily rich Pinot, fat and opulent in cherry compote, mocha and root beer flavors. Generously oaked, it offers spicy oak notes and a velvety texture. It's a big, fruit-forward wine, but manages to maintain delicacy and harmony throughout. Best now through 2008.",92,48.0,Pinot Noir
79957,France,"Relatively tight and closed up at this stage, this wine is all about freshness, poised but rich fruit and a structure that suggests long-term development. The wood is quite prominent, overshadowing what will be delicious yellow-fruit flavors. Come back to this wine in 5 years time—it will be magnificent.",94,110.0,Chardonnay
66456,US,"This is a Pinot Noir-based blend, and it's quite a good dry, red wine of some sophistication and elegance. Soft and approachable, its cherry fruit flavors are complexed with herbs, such as sage and thyme, and a rich earthiness.",90,25.0,Red Blend
12273,US,"An easy drinking dinner wine, dry and balanced, with smooth tannins and plum, blackberry and coffee flavors. Has a rich, blueberry-muffin taste on the finish.",85,16.0,Merlot
78551,Italy,"Catches your eye with its brassy hue, and also makes its mark with an overtly sweet nose of peach blossom and melon. In the mouth, however, it struggles a bit, offering cider and melon flavors on a soft, rather punchless palate.",83,13.0,Grechetto
61983,Spain,"This is cool on the nose, with tree bark and tobacco aromas that come together well. Tannic and stout, it's not punishing, with a roasted black-fruit flavor and a backing of espresso bitterness. This shows a syrupy side and also raw power. Drink now–2018.",90,44.0,Tempranillo
73725,Italy,"A beautifully executed wine, this has fine aromas of cola, red currant, licorice, blue flower and moist earth. The texture is long, smooth, silky and elegant texture. There's a touch of menthol on the finish.",92,56.0,Nebbiolo
103820,US,"Still dependable despite changes in ownership, this winery again delivers an elegant, well-made wine. With this vintage, it veers more toward herbaceous notes than fruity ones. The dominant flavors are of green olives and sweet bell pepper. Don't think, however, that it's lean. Oak provides fatness, and the right foods, like grilled red meat, will coax out the berry sweetness.",87,22.0,Cabernet Sauvignon
43110,US,"Very, very sweet in residual sugar, with powerful flavors of apricots, honey, oranges and vanilla. A bit soft, but the luscious sweetness is what makes it work.",88,25.0,Chardonnay
22965,Spain,"Mild peachy aromas are friendly but nothing serious or intense. This varietal Macabeo feels citrusy, while lightly bitter flavors of almond skins, citrus pith and green melon finish with simplicity and a note of nectarine.",85,9.0,Macabeo
63684,France,"Ame means the spirit, the soul, and Alain Rotier believes this wine expresses the true nature of his Gaillac estate. On that basis, it's a place of great perfumes, coming through in the wine from wood as well as chunky black fruits. It is a relatively soft wine, the concentration in the dense fruit rather than the tannins.",91,40.0,Duras
64891,US,"This is bone dry, with plenty of acidity and tough tannins. It's not offering much relief, despite an evident core of blackberries, currants and cherries. Those tannins really lock the palate down, like a sandpaper straitjacket on the tongue. But you have to consider its origin in Yountville, a cool area noted for ageable wines. It hould begin to resolve its difficulties by 2016.",91,50.0,Cabernet Sauvignon
92418,Italy,"Packaged in a modern screwcap bottle, this friendly blend of Ribolla Gialla with smaller percentages of Friulano and Riesling delivers a bright golden color and lively fruit aromas of stone and passion fruits. The wine is crisp and lively in the mouth and perfectly captures the spirit of winemaking in Northeast Italy.",89,34.0,White Blend
83080,US,"A bit raw and rustic in texture, with a briary, green peppercorn mouthfeel that's scoury and tart in acids. Couple that with berry-cherry fruit, and you can a Zin that tastes sweet-and-sour. But it's very Zinny, and will wash down barbecue with ease.",84,28.0,Zinfandel
12533,US,"Will appeal broadly to many Pinot lovers for its soft, lush array of flavor. Raspberries, cherries, red currants, licorice and bacon all lead to a long, spicy finish. Trades complexity for immediate appeal, so drink up.",88,50.0,Pinot Noir
82398,US,"Too heavy and soft, like a melted mocha-raspberry sundae. Lacks structure, which makes it taste too sweet.",82,10.0,Cabernet Sauvignon
21177,US,"Birch Creek Vineyard provides the fruit for this stainless-steel-fermented and aged wine. It offers notes of custard, lees and herbs. The clover flavors show a richer feel but the concentration doesn't all seem to be there, trailing toward the finish.",87,36.0,Sémillon
78306,Italy,"Almost stewy but not totally over the top. The nose offers more earth and oak than brightness, while the palate is herb-infused, with berry and tomato. Fairly classic in style, but not as fresh as desirable.",84,20.0,Sangiovese
49852,US,"Very dry and a little earthy, with a dusty hay or dried straw quality to the tangerine, sweet lime, lychee, peaches and cream flavors. An interesting, crisp Chard with plenty of nuanced complexity.",91,30.0,Chardonnay
45825,US,"Smells and tastes ungenerous, probably due to unripe grapes that give an earthy, vegetal taste to the wine. Not going anywhere, so drink up.",83,24.0,Red Blend
92181,US,"Nice, rugged mountain Zin, with the briary, brambly tannins and peppery taste of wild berries freshly picked off the vine. Alcohol adds heat and structure, and time in the barrel has softened the tannins. This might just be the perfect backyard barbecue red wine.",86,16.0,Zinfandel
90711,France,"Moody, complex and brooding, this is a superb wine and an exceptional value. Purple violets, black forest cake, cocoa nibs and espresso granules all abound on the nose, backed by dark juicy black raspberries. Full and firmly structured in the mouth with notes of pepper, tea, smoked meat and black fruit on the palate.",93,28.0,Syrah
48761,Spain,"A real surprise! Who in their right mind could expect so much quality from a Cab Franc-Tempranillo blend from Penedès? But try it and we guarantee you're going to like it. The nose is meaty, ripe and round, while the palate features pure core fruit backed by chocolaty warmth. With kick as well as subtlety, this is a bargain hunter's dream. Imported by Grapes of Spain.",91,12.0,Red Blend
81433,US,"Another good job at a relatively inexpensive white variety from Clos du Bois. With Lake and Sonoma county grapes, the wine shows good Sauvignon Blanc character. Dry and crisp, it's savory in lemongrass, grapefruit and peach flavors that are lightly oaked.",86,14.0,Sauvignon Blanc
30123,US,"A touch of oak influence lends smokiness to the lime, Meyer lemon and tropical fruit flavors. With its crisp acidity that creates a sweet-and-sour taste, this wine is for drinking now as a cocktail sipper or with ham or Chinese food.",85,15.0,Sauvignon Blanc
40009,US,"A very tasty wine, loaded with fleshy, fruity flavor. The dominant note is fresh cut pear, dappled with cinnamon spice. Round and balanced, it's a delicious bottle with just a slight hint of residual sweetness.",88,16.0,Pinot Gris
93363,US,"Nice aromas of pie crust, red fruit and some barnyard lead to a tart, simple wine with watered-down flavors of red berry.",81,20.0,Cabernet Franc
51064,US,"This is a bold, densely structured wine with vanilla-cream, orange-soda and pineapple-custard flavors. There's good acidity, but it appeals to the modern style with it's ripe, straightforward feel.",85,25.0,Chardonnay
75960,US,"Another lovely Gewurz from Navarro. Made with neutral oak fermentation, it's rich and crisp and spicy, with a mélange of exotic fruit and wildflower flavors.",89,19.0,Gewürztraminer
25841,US,"With off-dry flavors of ripe lemons, limes and vanilla, accented with brisk acidity, this simple wine will pair well with sweet Chinese and Vietnamese foods, and the price is right.",84,12.0,Sauvignon Blanc
52998,US,"A pretty good Pinot Noir, dry and elegantly constructed, with crisp acidity and a backbone of tannins. The flavors of raspberry and cherry fruit are delicious, but the texture is scoury and a little warm, even though the alcohol is relatively low.",86,30.0,Pinot Noir
72299,US,"Polished and sophisticated, with lush green apple, pineapple, buttered toast and cinnamon flavors. Likeable for its balance and sheer drinkability.",88,20.0,Chardonnay
38074,Italy,"From young vintner Giovanni Abrigo in the Treiso area, this is a lovely expression of Barbaresco with immediate aromas of cherry, cassis, spice, smoke, leather and tobacco. The wine is approachable now, but it's also built to last: natural concentration, bright fruit flavors and acidity will hold ten years or more.",93,35.0,Nebbiolo
63785,Spain,"Rooty and earthy smelling, this has aromas of leather, cassis, tobacco, dried cheese and cola. It feels rich and nicely textured, with firm but friendly tannins that set up tobacco, coffee, mocha and roasted berry flavors. It's chocolaty in an uncanny way on the finish. Drink now through 2018.",93,70.0,Tempranillo
39074,Italy,"Without a doubt one of the most successful vineyard crus in Barbaresco, Rabajà delivers unique intensity and sophistication. You'll notice aromas of black fruit, spice, tar and licorice and there's good balance between the wine's acidity and its tannic structure. Pair this wine with roasted pork stuffed with prunes.",91,52.0,Nebbiolo
79426,France,"Michel Laroche has been branching out of Chablis in recent years and his southern French effort has some chlorine notes along with aromas of mint and sweet wood. The power is up there, but there isn't suppleness to match. The palate pulsates while the finish is dark and sharp, with a burnt flavor.",82,7.0,Merlot
17247,US,"Like almost all of Reverie's Cabernets on release, this one needs time in the cellar. Tasted in fall 2011, it's tight and grapey, with blackberry jam flavors girded by a firm, stony minerality and sweet, but hard, tannins. Give it 6–8 years.",92,75.0,Cabernet Sauvignon
55295,US,"This pure Mourvèdre begins well, offering a full palate of varietal flavors that are built upon a mix of citrus and ripe tree fruits, along with accents of leaf and forest. It turns soft and seems a bit overripe, running into a rather short finish.",87,35.0,Mourvèdre
87704,US,"Here's a bone-dry, crisply acidic and ultraclean Sauvignon Blanc. Its lemongrass, lime and grapefruit flavors are savory and bright, and accented with a cold streak of stony minerals.",87,20.0,Sauvignon Blanc
25540,Italy,"Here's a simple and fruity Nero d'Avola that offers fleeting blackberry and tart red-cherry flavors alongside fresh acidity. Pair this with pizza or with other everyday, informal meals.",85,13.0,Nero d'Avola
22441,Italy,"A sub-brand of Riunite, Albinea Canali's Ottocentonero shows simple, easy lines with raw fruit, cherry and almond paste. It's a dry Lambrusco without some of the bitterness you sometimes encounter with these wines.",84,13.0,Lambrusco
86040,US,"When this bottling is from a ripe vintage, it can be quite good. But the cool 2007 harvest has yielded a somewhat green wine. It has grapefruit and gooseberry flavors that veer into feline territory.",84,20.0,Sauvignon Blanc
2394,US,"The aromas of lemon, soil and flowers are quite subdued. The flavors are restrained with impressive balance and the variety's often burly tannins well tamed.",89,32.0,Petite Verdot
92591,US,"Coming from such a cool climate, this Cab isn't as opulent or ripe as, say, Napa. There's a wintergreen mint note alongside the sweet red cherry and black raspberry flavors, and a lightly elegant weight. It's a different kind of Cab, but a dry, good one, and very friendly with food.",87,35.0,Cabernet Sauvignon
44060,US,"Lots of ripe, jammy cherry, blackberry and chocolate fruit in this easy-drinking Cab. Shows some rusticity, though, in the raisiny finish and astringency of the tannins.",83,14.0,Cabernet Sauvignon
51598,Spain,"With aromas of milk-chocolate-covered cherries and forced oak, this smells overtly sweet and candied. This feels choppy and juicy, with red fruit flavors and buttery oak in the background. It turns sweeter and more buttery on the finish, but doesn't offer much complexity.",83,15.0,Grenache Blend
74895,Italy,"Sangiovese with 25% Merlot for added softness and dimension, this wine boasts pretty notes of cherry, blue flowers, toasted almonds and exotic spice. It has nice elegance overall but is a bit compact in the mouth.",87,15.0,Sangiovese
95897,Italy,"This luminous Pinot Grigio opens with simple aromas of stone fruit, melon and citrus and delivers fine levels of acidity and enough structure to carry forward with fish pasta or risotto. The wine performs nicely in the mouth thanks to its creamy texture.",86,20.0,Pinot Grigio
30098,US,"The most tannic and closed of Vine Cliff's magnificent array of '07 Cabernets. It's hard, with a bite of acidity, but it doesn't take much for the richness to explode. Blackberries, black currants, dark chocolate, butterscotch, sweet cinnamon spice, the list goes on and on. So rich and decadent, you can enjoy it now, but it will gather momentum over the next 6–8 years.",95,150.0,Cabernet Sauvignon
32989,Spain,"Mild salinic aromas bring lime and lychee. Feels standard and smooth enough, with sweet white fruit flavors that suggest peach. As a semi-dry, it always feels and tastes sugary.",84,9.0,Sparkling Blend
44466,Spain,"Fresh berry aromas carry some spice notes, while the palate is rugged and a little hot. Juicy berry flavors are forward but not overly evolved or complex, and the the finish is tight and aggressive. Spunky and clean, with honest flavors.",86,14.0,Tinto del Pais
49721,France,"With 14 months' new wood aging, this wine is still all wood and toast. The wine does have weight, with the promise of blackberry fruits under the firm tannins. It is finely structured and should mature well.",89,18.0,Bordeaux-style Red Blend
92379,US,"Erath's fresh and lightly fruity Pinot Gris is a bit more substantial than this new Pinot Blanc. Soft and fruity, this is a simple wine which does not challenge the palate in any way. All stainless steel fermented, it is the quintessential quaffer.",84,14.0,Pinot Blanc
53275,US,"Winemaker Denis Malbec has created a brilliantly delicious, crisp, dry yet richly textured version of the variety that opens with golden honey, dried apricot and lychee on the nose and mouth. Very minerally, the wine has a steely finish with smoky, oaky edges.",91,36.0,Sauvignon Blanc
19663,US,"A hearty Cabernet rich in cranberry and cassis with streaks of earthy cedar and a pleasant herbal undertone. The tannins are young still, pleading to wait until 2017–2019 in the bottle, or for some air before enjoying.",89,35.0,Cabernet Sauvignon
73278,US,"Curiously perfumed with notes of roasted hazelnuts and fresh apples, this is a savory, dry Chardonnay. Full bodied in style with notes of nut oil and nut skins throughout, it ends with a hint of wood sap astringency on the finish.",83,15.0,Chardonnay
18987,Italy,"Thanks to its dense clay soils, the Brunate cru delivers wines with high color saturation and aromatic caliber. This Barolo offers layers of black fruit, plum, spice, tobacco, cola and dark chocolate. The wine is firm and finely textured with power, dimension and personality on the long finish.",94,88.0,Nebbiolo
93934,Spain,"A wine searching for an identity. The nose deals menthol, licorice, grilled meat and molasses but little-to-no bright fruit. That heaviness transfers to the mouth, where marinated, baked flavors mix with green tomato. Fails to impress.",83,36.0,Tinto del Pais
34222,US,"A pale pink color introduces this wine, as do fairly weak aromas of bubble gum and freshly squeezed lime. This is one of three rosés made by Proulx, and they are all rather subtle in expression, this one delivering a bit of lime and decent amount of tannic grip to the palate. It would be a great match for anything rich in texture but light in flavor, as it could be easily overwhelmed.",86,24.0,Rosé
74042,France,"For any serious fan of Rivesaltes, this is a must-have example. Aromas of dried apricot, toasted hazelnut, fig, ginger, sweet spice and candied orange rind fill the bouquet, while the mouth is silky and balanced—sweet and heady without being cloying. All of the aromas transition onto the palate alongside accents of walnut skins and shiitake mushroom. Soft salinity makes the long finish even more mouthwatering. Drink now, or continue to age. There are 869 bottles produced.",95,350.0,Red Blend
23768,France,"Epineuil is a region between Burgundy and Chablis, producing light, fruity Pinot Noir. This perfumed and dusty wine does show some firm tannins. It is bright with red currant and raspberry fruits, with a fresh aftertaste.",87,23.0,Pinot Noir
75581,France,"This 12-year old shows signs of maturity, but retains freshness and liveliness as well. With its yeasty edge, toasty flavors and wonderful white fruits all in balance, it is finely balanced. The acidity is kept in check by the richness of the mature fruit. A very complete Champagne.",94,95.0,Chardonnay
95624,US,"You sure can taste the sunny, fruity extract in this wine. It's massive in black cherry liqueur, cassis and mocha-choca flavors. It's also very soft, with a long, almost sweet finish.",85,29.0,Zinfandel
47575,US,"and sweet, with candied cherry, raspberry and carob flavors. Tasty enough, but seriously lacks the acidity to make this fruity wine come alive. From Cartlidge & Browne.",83,35.0,Pinot Noir
91923,France,"Just like the '07, this is a blend of 60% Grenache Bl;anc, 20% Marsanne and 20% Roussanne, featuring ripe melon and peach fruit wrapped around an underlying minerality. It's full and broad, yet manages to be refreshing despite its weightiness.",87,12.0,White Blend
93529,France,"An intensely mineral expression of Sauvignon Blanc, crisp, full of citrus flavors, deliciously fresh, but also complex. The wine is concentrated into a steel spring of ripeness, ready to burst from the glass.",92,22.0,Sauvignon Blanc
53814,France,"This is grandiose, with ripe apricot and peach flavors—even a note of mango—that are allied to the wood notes. As a contrast, there is fine acidity and elegance, with a lemon zest edge that gives structure to this full, superripe, powerful effort.",93,125.0,Chardonnay
14185,Italy,"This hearty red wine from central Italy would pair well with grilled meat or veal wrapped in sage leaves and sliced prosciutto ham. Loads of red berries are followed by notes of exotic spice, leather, tobacco and firm tannins. Drink in 3–5 more years.",91,22.0,Red Blend
62174,US,"From Dijon clones, this sculpted, tight, compact Chardonnay feels as if it is shut in a cocoon. Give it time (and decanting) to unwrap, and it shows elegant tropical and stone fruits, caramel, vanilla cream and butter flavors, backed with moderate acids.",88,28.0,Chardonnay
81790,US,"This debut blend somehow reaches 15% alcohol, not easy to do with Yakima Valley Sangiovese. It's a solid effort, which opens well—supple and polished, with pretty flavors of mixed plum and berry. It's silky, smooth and there's plenty of tangy fruit. The finish gets a little too hot, but that's a minor quibble in a wine that gives you this much flavor at this price. The finish keeps getting more and more interesting, piling on smoked ham and spicy clove as it goes.",90,20.0,Red Blend
37199,US,"Texture is the name of the game here. We're talking pure velvet, the way the wine glides over the palate with hardly a wrinkle. Beyond the mouthfeel are flavors so complex, they're hard to describe. The blend consists of Cabernet Sauvignon, with contributions from Cab Franc, Malbec and Petit Verdot, and each grape brings its own distinction, as does 100% new oak. It's approachable now for the softness, and should glide through the next 6–8 years with ease. Expensive, yes, and only 344 cases were produced, but it's worth the search.",95,90.0,Cabernet Sauvignon
18596,Italy,"This is a terrific value wine (a rosé made from the indigenous grapes of Sicily) that opens with a bright pink color and fragrant tones of raspberry, white almond and rose petal.",86,13.0,Rosé
65581,US,"Less immediately accessible than the 2005, the 2006 is tight and tart and almost seems encased in some sort of a shell. The fruit is concentrated raspberry and plum, and the acids taste natural while the tannins are polished and proportionate. The wine stays focused and strong through a very long finish that dapples in toasted coconut and chocolate malt. If you are a Rollat collector (and you should be) this would be the wine to cellar for five or six years, waiting for the Edouard to come into full flower.",92,45.0,Cabernet Sauvignon
76243,US,"Light strawberry, raspberry and Bing cherry fruit, medium weight, straight-ahead, nicely ripened. The tannins are soft and the balance works just fine.",87,32.0,Cabernet Sauvignon
36794,Spain,"The year 2007 is not going to go down in the books as a good one for Ribera del Duero. Many of the young wines, like this one, are showing narrow, sour fruit and too much funk and pickle. Here, there's a touch of jamminess and red fruit but mostly it's another thin, pushy wine with anemic flavors and a rough mouthfeel. Stick with the 2006 if you can find it.",83,20.0,Tempranillo Blend
19554,US,"Some years ago, Willamette Valley Vineyards purchased the Tualatin Estate vineyards and winery founded by Bill Fuller in 1973. To mark the return of Mr. Fuller to winemaking, the new cuvée celebrates his 40th vintage. A tawny gold, it's scented with honeycomb and pineapple. Potent and focused, it carries those flavors into a finish rich with bee pollen and preserved lemon intensity.",91,35.0,Chardonnay
